fid,lat,lon,Annual_WS,Annual_WD
"485",37.563,126.943,3.37,325.48
"486",37.553,126.943,3.33,317.39
"487",37.563,126.92,3.44,309.65
"488",37.563,126.932,3.38,322.88
"489",37.572,126.92,3.38,311.21
"490",37.572,126.932,3.32,333.56
"491",37.581,126.921,3.32,314.62
"492",37.581,126.932,3.34,336.59
"493",37.599,126.956,3.46,326.25
"494",37.609,126.956,3.47,339.64
"495",37.572,126.909,3.4,300.85
"496",37.553,126.955,3.27,313.19
"497",37.544,126.955,3.31,305.29
"498",37.544,126.932,3.53,307.26
"499",37.554,126.932,3.42,314.7
"500",37.544,126.92,3.57,304.95
"501",37.554,126.909,3.57,302.4
"502",37.554,126.92,3.5,307.49
"503",37.545,126.908,3.6,300.1
"504",37.563,126.897,3.53,301.09
"505",37.563,126.909,3.48,303.75
"506",37.572,126.897,3.44,296.91
"507",37.554,126.862,3.51,284.43
"508",37.554,126.874,3.5,288.82
"509",37.563,126.862,3.58,287.46
"510",37.563,126.874,3.55,292.54
"511",37.563,126.885,3.56,297.7
"512",37.573,126.862,3.63,290.21
"513",37.573,126.874,3.56,294.98
"514",37.572,126.885,3.5,295.06
"515",37.508,126.838,3.53,291.91
"516",37.518,126.827,3.59,276.76
"517",37.517,126.838,3.53,278.94
"518",37.517,126.85,3.4,282.22
"519",37.517,126.862,3.47,286.48
"520",37.517,126.873,3.47,288.03
"521",37.527,126.838,3.43,274.09
"522",37.527,126.85,3.45,282.58
"523",37.527,126.862,3.47,286.89
"524",37.526,126.873,3.47,289.63
"525",37.536,126.873,3.46,291.93
"526",37.545,126.873,3.46,291.14
"527",37.536,126.827,3.53,277.12
"528",37.536,126.838,3.48,280.28
"529",37.536,126.85,3.46,286.41
"530",37.545,126.839,3.5,283.18
"531",37.545,126.85,3.46,285.59
"532",37.536,126.862,3.45,290.31
"533",37.545,126.862,3.45,287.94
"534",37.554,126.85,3.53,281.63
"535",37.564,126.851,3.61,284.84
"536",37.573,126.851,3.67,287.78
"537",37.581,127.002,3.09,311.64
"538",37.571,127.013,2.99,301.15
"539",37.58,127.014,3.01,307.54
"540",37.609,126.967,3.56,335.02
"541",37.618,126.956,3.97,343.6
"542",37.618,126.968,3.91,337.12
"543",37.627,126.968,4.66,335.01
"544",37.599,126.967,3.6,324.27
"545",37.562,126.979,3.18,315
"546",37.553,126.99,3.36,312.04
"547",37.562,126.99,3.29,300.78
"548",37.562,127.002,3.2,293.04
"549",37.553,127.002,3.36,301.87
"550",37.553,127.013,3.17,297.77
"551",37.562,127.013,3.05,295.49
"552",37.562,127.025,3.03,298.78
"553",37.553,126.978,3.19,316.88
"554",37.535,126.99,3.26,303
"555",37.544,126.99,3.23,312.2
"556",37.535,126.978,3.29,298.69
"557",37.544,126.978,3.19,308.69
"558",37.553,126.967,3.19,312.22
"559",37.544,126.967,3.24,303.51
"560",37.535,126.966,3.34,296.57
"561",37.535,126.955,3.41,298.32
"562",37.525,126.978,3.38,292.16
"563",37.526,126.955,3.46,288.53
"564",37.526,126.966,3.43,288.95
"565",37.516,126.966,3.4,280.61
"566",37.516,126.978,3.4,286.87
"567",37.525,127.001,3.32,295.53
"568",37.534,127.001,3.22,303.19
"569",37.544,127.001,3.27,306.12
"570",37.525,126.99,3.35,295.13
"571",37.562,127.037,2.95,297.09
"572",37.589,127.06,2.84,298.29
"573",37.598,127.061,2.77,296.57
