fid,매우양호,양호,약간양호,약간불량,불량,매우불량,기타,총면적
290,789188.468,282261.426,0,0,0,0,0,1071449.8939999999
291,935985.903,133626.00400000002,0,0,0,0,0,1069611.9070000001
292,1232002.052,0,0,0,0,0,0,1232002.052
293,994820.378,63325.055,0,0,0,0,0,1058145.433
294,1042988.492,26489.017,0,0,0,0,0,1069477.509
295,954521.804,53548.776,0,63346.226,0,0,0,1071416.8059999999
296,1121527.288,0,0,0,0,0,0,1121527.288
297,849407.003,207115.745,0,0,0,0,0,1056522.7480000001
298,386067.886,233897.716,39952.337,350561.945,0,6472.845,0,1016952.729
299,668333.968,93278.03199999999,26182.893,220222.801,0,0,0,1008017.694
300,0,279334.533,241471.213,494509.831,0,0,0,1015315.577
301,18628.826,374148.308,168239.429,209797.70799999998,0,0,0,770814.2710000001
302,220836.863,195599.56,0,0,0,0,0,416436.423
303,97456.563,851962.139,6823.381,75664.62700000001,0,0,0,1031906.71
304,205515.711,240173.549,0,11693.405999999999,2431.207,0,0,459813.873
305,61800.439,695706.63,144189.398,68534.648,23153.311,242018.436,0,1235402.862
306,10730.998,576965.2459999999,188274.188,227873.689,0,11471.455,0,1015315.5759999999
307,15225.466,1052830.767,0,4883.642,0,0,0,1072939.875
308,0,151099.97999999998,5564.206,266278.99600000004,0,29494.318,32975.328,485412.828
309,4006.28,236207.894,261459.25999999998,192615.13700000002,0,0,8471.719,702760.29
310,65.407,470263.558,0,646980.091,0,0,0,1117309.056
311,92861.875,28164.071,3467.578,945775.66,0,0,0,1070269.1840000001
312,0,269557.327,61234.976,586381.9909999999,0,0,0,917174.294
313,1095201.045,191319.443,0,0,0,0,0,1286520.488
314,268093.046,98548.068,15165.683,651633.064,0,0,0,1033439.861
315,0,310023.657,24937.984,326642.13800000004,174464.566,0,0,836068.3450000001
316,185570.814,782354.907,41558.107,221469.617,0,0,0,1230953.445
317,204157.697,169662.973,0,461775.348,58698.019,0,0,894294.0369999999
318,0,118327.666,0,359800.556,535738.518,0,0,1013866.74
319,0,535855.426,0,478710.147,0,0,0,1014565.573
320,4064.847,1037380.749,0,71333.391,0,0,0,1112778.987
321,81343.653,153838.346,0,405294.32200000004,251672.434,0,0,892148.755
322,0,211580.853,8.914,782580.696,20274.495,0,0,1014444.958
323,0,381945.939,101419.511,518244.282,0,14332.503,0,1015942.2350000001
324,0,92085.842,83822.615,474381.694,214837.884,0,0,865128.035
325,316940.881,353021.83400000003,255.022,446334.76,0,0,0,1116552.497
326,34534.74,746491.69,68608.565,165888.57799999998,0,0,0,1015523.5729999999
327,362771.736,610234.6540000001,0,37342.636,0,0,0,1010349.0260000001
328,458386.855,241465.422,5440.685,332982.33499999996,0,0,0,1038275.297
329,726338.059,111104.192,4926.107,154467.465,0,0,0,996835.823
330,0,1057276.11,0,13247.307,0,0,0,1070523.4170000001
331,0,516316.21,35786.777,124844.236,0,0,0,676947.223
332,0,1091380.984,0,26199.533,0,0,0,1117580.517
333,47808.918,178010.754,0,0,0,35930.647,0,261750.319
334,205532.001,295850.922,0,51.444,0,0,0,501434.367
335,21931.408,1030078.431,0,0,0,0,0,1052009.839
336,12283.404,699977.823,247402.712,27061.025,0,0,0,986724.964
337,159013.207,573341.962,0,0,0,0,0,732355.169
338,0,484449.098,0,532231.251,0,0,0,1016680.349
339,0,169868.601,145185.175,467731.33200000005,118079.058,0,0,900864.166
340,0,242810.305,150688.153,478603.594,0,0,0,872102.0519999999
341,0,479405.023,293242.24,258524.09100000001,0,0,0,1031171.354
342,27210.948,0,18490.387,1060381.796,0,0,0,1106083.131
343,0,15113.452,92656.669,843851.8879999999,0,0,0,951622.009
344,77732.793,33784.476,294912.423,576241.11,0,0,0,982670.802
345,611037.586,128281.268,9131.614,308980.436,0,0,0,1057430.904
346,0,294080.79,223387.19499999998,513728.484,0,0,0,1031196.469
347,554696.463,490037.429,58261.864,28485.743,0,0,0,1131481.499
348,0,571961.018,345888.163,138348.434,0,0,0,1056197.6150000002
349,0,564737.098,157673.867,102303.256,0,190467.497,0,1015181.7179999999
350,11607.08,624510.461,35728.126,184347.734,0,132193.243,0,988386.6440000001
351,84896.43,638457.671,125576.777,167628.874,0,0,0,1016559.7520000001
352,142145.263,1001732.7490000001,0,0,0,8158.708,0,1152036.7200000002
353,0,192184.24,0,789205.831,0,33791.606,0,1015181.677
354,45562.261,268538.907,0,695783.816,0,0,0,1009884.9839999999
355,0,449415.02,9464.012,502972.951,0,0,0,961851.983
356,236814.229,215478.535,27793.819000000003,550025.235,0,0,0,1030111.818
357,654951.273,213211.15000000002,21453.883,201558.87699999998,0,0,0,1091175.1830000002
358,237104.285,81041.972,85823.956,612213.934,0,0,0,1016184.147
359,615145.783,172940.375,15541.471000000001,211058.551,0,0,0,1014686.18
360,483291.936,353043.70399999997,80156.466,154212.554,0,0,0,1070704.66
361,723968.557,148854.006,26020.462,198400.19499999998,0,0,0,1097243.2200000002
362,0,396644.492,7433.615,328995.042,76485.006,0,0,809558.155
363,68185.455,527821.0360000001,40834.716,153869.62,204565.08,31888.190000000002,0,1027164.0970000001
364,83825.84,762701.185,103348.89,336996.16400000005,0,0,0,1286872.0790000001
365,428403.459,406156.411,193009.14099999997,43598.263999999996,0,0,0,1071167.275
366,3993.952,860876.219,170899.675,196059.117,0,178051.503,0,1409880.4660000002
367,57615.08,554925.219,87773.732,161415.375,174961.428,3.548,0,1036694.382
368,331222.647,605806.7880000001,103178.806,97495.63500000001,87927.891,157415.517,0,1383047.2840000002
369,330600.702,583273.2339999999,89390.187,12785.931,0,0,0,1016050.054
370,276100.864,190569.452,0,581071.607,0,0,0,1047741.923
371,290427.353,103339.361,26544.243,587239.011,0,0,0,1007549.9680000001
372,734747.564,106191.12,12747.496,204725.109,0,0,0,1058411.289
373,401588.569,198891.604,0,469266.051,0,0,0,1069746.224
374,638618.725,103001.969,90274.601,224893.174,0,0,0,1056788.469
375,74592.727,319472.835,21439.57,610167.31,0,0,0,1025672.442
376,663337.937,244557.34600000002,0,106294.939,0,0,0,1014190.2220000001
377,600119.794,186076.614,0,229490.673,0,0,0,1015687.081
378,323241.681,354232.32200000004,0,438798.018,0,0,0,1116272.021
379,824927.601,114850.592,41574.326,89545.74599999998,0,0,0,1070898.265
380,233474.903,86836.847,60089.531,584700.336,0,0,0,965101.6170000001
381,118117.785,106564.147,4806.422,760547.601,73447.664,6785.011,0,1070268.6300000001
382,87816.919,227715.051,151668.038,548814.192,0,0,0,1016014.2
383,487947.274,452733.288,0,121606.386,0,0,0,1062286.9479999999
384,1196006.123,23589.137,0,0,0,0,0,1219595.26
385,728009.623,278969.144,0,50903.594,0,0,0,1057882.361
386,0,488673.863,30273.989,360151.665,18793.567,115921.516,0,1013814.6000000001
387,0,413824.057,227477.607,159477.131,209571.452,3464.368,0,1013814.615
388,1255955.684,128680.068,0,0,0,0,36090.685,1420726.437
389,826907.311,245214.782,0,0,0,0,0,1072122.0929999999
390,1939.984,507190.45900000003,64508.619999999995,327298.484,101269.553,67799.491,0,1070006.591
391,765979.582,0,0,0,0,0,0,765979.582
392,993832.816,61372.017,16793.551,0,0,0,0,1071998.384
393,364970.525,469989.41,116136.728,164620.147,0,0,0,1115716.81
394,979566.611,278427.197,0,22624.707,0,0,0,1280618.515
395,934525.274,44809.553,0,34103.934,0,0,0,1013438.7609999999
396,945743.677,59518.056,0,0,0,0,0,1005261.733
397,1013317.899,0,0,0,0,0,0,1013317.899
398,0,551562.559,328882.185,177437.631,0,0,0,1057882.375
399,0,808998.553,29730.351,138989.9,38991.057,0,0,1016709.861
400,0,890402.965,108322.574,57545.677,0,0,0,1056271.216
401,347017.884,515765.439,107155.75,99960.384,0,0,0,1069899.4570000002
402,0,393501.075,120748.19200000001,499323.755,0,0,0,1013573.022
403,0,146397.961,0,774537.5549999999,0,0,0,920935.516
404,942951.646,65027.877,5286.172,57673.982,0,0,0,1070939.677
