fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시),도로(도시),일반주택지(도시),교육/군사시설(도시),유원지(임지),공공용지(도시),인공녹지(도시),하천(수계),고층주택지(도시),공업시설(도시),침엽수림(임지),암벽/석산(임지),미경지정리답(농지),보통/특수작물(농지),처리장(도시),저수지/늪(수계),자연초지(임지),발전시설(도시),공업나지(도시),인공초지(임지),경지정리답(농지),활엽수림(임지),철로(도시),골프장(임지),혼합수림(임지),가축/사육시설(도시),공원묘지(임지),과수원(농지),매립지(도시),shape_area
534,29.18918918918919,34,25,201505.58800000002,6201649.948,222591.812,93080.438,0.0,150644.83899999998,41575.153000000006,0.0,260451.329,17108.458,273843.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7462451.341999999
36,33.86666666666667,37,31,0.0,0.0,137394.067,0.0,0.0,115490.131,0.0,0.0,0.0,0.0,0.0,0.0,284707.166,2141150.289,0.0,0.0,0.0,0.0,0.0,0.0,185274.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2864016.0769999996
14,30.772727272727273,36,27,204936.701,6201649.948,303150.89400000003,0.0,0.0,21265.922000000002,15961.847,89484.889,0.0,0.0,0.0,0.0,2012747.391,154427.175,4300.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9007925.565000001
15,29.20689655172414,33,26,182791.484,6201649.948,435160.40099999995,99380.53,0.0,0.0,0.0,65780.066,137296.898,37751.788,146639.806,0.0,1483702.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8790153.454
507,29.46153846153846,32,27,275256.229,6201649.948,243929.715,58239.630000000005,0.0,117415.977,0.0,0.0,257732.87699999998,185674.00400000002,151631.197,0.0,0.0,0.0,15206.362,29628.717999999997,0.0,0.0,0.0,32737.432999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7569102.089999999
346,32.666666666666664,35,29,16182.460000000001,18729759.247,1040721.6080000001,0.0,0.0,57879.162,30506.010000000002,145346.981,6351.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18457.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20045204.014000002
508,27.5327868852459,32,23,46931.233,21785680.327,150451.24899999998,44299.157,0.0,0.0,26281.071,3135453.086,182280.23799999998,50041.884,70627.38,0.0,0.0,0.0,15206.362,29628.717999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15379.845,0.0,0.0,0.0,0.0,0.0,25552260.549999997
20,35.64705882352941,38,32,62815.047999999995,6201649.948,0.0,0.0,0.0,178900.199,112257.356,0.0,0.0,0.0,0.0,0.0,643746.63,2127871.7709999997,0.0,0.0,0.0,0.0,0.0,64264.297999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9391505.25
308,31.615384615384617,34,28,5324.872,3257504.557,160602.997,0.0,0.0,197956.777,28990.537,204883.31900000002,55147.277,0.0,38475.933,0.0,0.0,1043525.3500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45729.957,0.0,160204.85,0.0,0.0,0.0,0.0,5198346.426
110,28.037037037037038,34,23,0.0,15584030.379,245282.11000000002,0.0,0.0,176986.406,1150255.4970000002,3175950.223,0.0,0.0,0.0,0.0,0.0,0.0,55159.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20387664.416
109,27.079545454545453,32,23,0.0,15584030.379,0.0,0.0,0.0,0.0,447686.473,1950228.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17981944.990000002
499,32.1875,35,29,115958.85699999999,15584030.379,949405.9629999999,635653.984,0.0,0.0,37745.375,0.0,110784.71299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996713.465,0.0,62558.204000000005,0.0,0.0,0.0,0.0,18492850.94
502,31.933333333333334,34,30,171184.44799999997,15584030.379,896922.7660000001,18591.843,0.0,0.0,0.0,0.0,39471.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961662.448,0.0,103697.477,0.0,0.0,0.0,0.0,17775560.919
486,32.095238095238095,35,28,229116.02799999996,15584201.88,754183.309,1022081.993,0.0,0.0,12255.471000000001,0.0,53407.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996713.465,0.0,73393.149,0.0,0.0,0.0,0.0,18725353.013
