fid,lat,lon,avg_dust,max_dust,min_dust
401,37.663000000000004,127.027,56.0,58,54
11,37.573,126.82700000000001,50.0,50,50
24,37.573,126.816,50.0,50,50
467,37.580999999999996,126.90899999999999,53.5,54,53
495,37.571999999999996,126.90899999999999,55.0,56,54
210,37.571,127.00200000000001,45.0,46,44
12,37.573,126.839,50.5,51,50
490,37.571999999999996,126.932,52.5,53,52
506,37.571999999999996,126.897,55.0,56,54
345,37.571,127.06,51.5,52,51
313,37.57,127.095,50.166666666666664,52,48
275,37.57,127.165,56.0,57,55
309,37.569,127.176,55.5,56,55
489,37.571999999999996,126.92,54.0,55,53
344,37.571,127.04799999999999,50.5,52,49
354,37.571,127.025,47.0,48,46
512,37.573,126.86200000000001,51.5,52,51
311,37.571,127.072,51.0,52,50
312,37.571,127.083,50.0,52,48
9,37.564,126.82700000000001,49.5,50,49
10,37.564,126.839,49.5,50,49
480,37.563,126.955,49.0,51,47
488,37.563,126.932,53.0,54,52
505,37.563,126.90899999999999,56.0,57,55
511,37.563,126.885,54.0,55,53
485,37.563,126.943,51.0,52,50
273,37.56,127.165,57.5,59,56
504,37.563,126.897,56.0,57,55
343,37.561,127.072,52.5,53,52
552,37.562,127.025,49.0,50,48
305,37.561,127.141,59.0,61,57
272,37.561,127.15299999999999,59.0,61,57
347,37.561,127.095,52.0,53,51
22,37.564,126.816,49.5,50,49
310,37.562,126.96700000000001,45.5,48,43
510,37.563,126.874,52.5,53,52
341,37.562,127.04799999999999,52.0,54,50
509,37.563,126.86200000000001,51.0,52,50
535,37.564,126.851,50.0,51,49
536,37.573,126.851,50.5,51,50
304,37.561,127.13,57.875,61,56
308,37.56,127.176,56.5,57,56
487,37.563,126.92,54.5,56,53
551,37.562,127.01299999999999,47.0,49,45
110,37.554,126.897,56.0,57,55
501,37.554,126.90899999999999,56.5,57,56
499,37.554,126.932,53.0,54,52
352,37.552,127.10600000000001,54.0,55,53
18,37.555,126.815,49.5,50,49
508,37.554,126.874,52.0,53,51
507,37.554,126.86200000000001,50.5,52,49
486,37.553000000000004,126.943,51.5,53,50
14,37.554,126.82700000000001,48.5,49,48
35,37.555,126.781,50.5,51,50
571,37.562,127.037,50.5,53,48
336,37.552,127.04799999999999,55.5,58,53
496,37.553000000000004,126.955,49.5,51,48
7,37.580999999999996,126.99,47.5,49,46
299,37.608000000000004,127.02600000000001,56.0,57,55
330,37.553000000000004,127.025,50.5,52,49
550,37.553000000000004,127.01299999999999,49.0,50,48
339,37.552,127.06,55.5,58,53
342,37.562,127.06,53.0,54,52
348,37.552,127.083,53.5,54,53
346,37.561,127.083,52.0,53,51
558,37.553000000000004,126.96700000000001,47.0,49,45
15,37.554,126.839,48.5,49,48
270,37.551,127.141,62.5,64,61
274,37.57,127.15299999999999,57.0,58,56
271,37.551,127.15299999999999,60.5,62,59
276,37.551,127.164,58.0,59,57
340,37.552,127.071,54.0,55,53
534,37.554,126.85,49.5,50,49
549,37.553000000000004,127.00200000000001,48.5,49,48
351,37.552,127.095,53.5,54,53
302,37.552,127.118,56.75,60,54
326,37.553000000000004,127.036,53.0,56,50
546,37.553000000000004,126.99,48.0,49,47
20,37.555,126.804,50.0,50,50
502,37.554,126.92,55.0,56,54
303,37.552,127.13,61.0,64,58
107,37.545,126.885,54.0,55,53
109,37.554,126.885,54.0,55,53
530,37.545,126.839,48.5,49,48
33,37.546,126.792,50.5,51,50
36,37.555,126.792,50.5,51,50
498,37.544000000000004,126.932,53.5,54,53
531,37.545,126.85,48.5,49,48
533,37.545,126.86200000000001,49.5,51,48
315,37.58,127.084,48.0,50,46
17,37.545,126.82700000000001,48.5,49,48
559,37.544000000000004,126.96700000000001,49.0,50,48
277,37.551,127.176,56.5,57,56
497,37.544000000000004,126.955,50.5,52,49
331,37.543,127.025,51.0,52,50
555,37.544000000000004,126.99,49.0,50,48
350,37.543,127.094,54.0,54,54
332,37.544000000000004,127.01299999999999,49.0,50,48
569,37.544000000000004,127.001,48.5,49,48
245,37.542,127.118,57.5,60,55
349,37.543,127.083,54.0,54,54
432,37.654,127.073,50.5,51,50
244,37.543,127.10600000000001,54.5,55,54
353,37.543,127.071,54.5,55,54
526,37.545,126.87299999999999,51.5,53,50
553,37.553000000000004,126.978,46.5,48,45
108,37.545,126.897,56.0,57,55
334,37.543,127.036,54.5,57,52
307,37.542,127.12899999999999,61.5,64,59
268,37.542,127.141,62.5,64,61
269,37.542,127.15299999999999,60.5,62,59
16,37.545,126.815,49.5,50,49
6,37.571999999999996,126.979,45.5,47,44
525,37.536,126.87299999999999,50.5,53,48
529,37.536,126.85,46.5,48,45
532,37.536,126.86200000000001,47.5,50,45
216,37.534,127.01299999999999,49.5,51,48
116,37.536,126.885,55.0,57,53
554,37.535,126.99,50.5,52,49
568,37.534,127.001,49.5,51,48
240,37.534,127.094,54.5,55,54
306,37.533,127.12899999999999,60.0,62,58
528,37.536,126.838,47.5,48,47
561,37.535,126.955,51.5,52,51
557,37.544000000000004,126.978,49.0,50,48
547,37.562,126.99,46.75,48,46
560,37.535,126.96600000000001,51.0,52,50
85,37.535,126.943,52.5,53,52
548,37.562,127.00200000000001,46.5,48,45
217,37.534,127.025,51.0,52,50
89,37.535,126.897,57.0,58,56
218,37.534,127.036,54.0,56,52
239,37.534,127.083,54.0,54,54
75,37.525999999999996,126.90799999999999,57.0,58,56
82,37.535,126.90799999999999,56.5,58,55
79,37.525999999999996,126.92,55.0,56,54
83,37.535,126.92,55.0,56,54
545,37.562,126.979,45.0,47,43
88,37.525999999999996,126.885,55.0,57,53
564,37.525999999999996,126.96600000000001,52.5,53,52
570,37.525,126.99,53.0,55,51
527,37.536,126.82700000000001,48.5,49,48
567,37.525,127.001,52.5,55,50
301,37.533,127.152,60.0,61,59
86,37.525999999999996,126.896,58.0,59,57
263,37.524,127.12899999999999,58.5,60,57
516,37.518,126.82700000000001,49.666666666666664,50,49
521,37.527,126.838,48.0,49,47
176,37.525,127.04799999999999,50.0,53,47
214,37.525,127.036,50.0,52,48
80,37.525999999999996,126.931,54.0,55,53
237,37.524,127.10600000000001,55.5,56,55
522,37.527,126.85,45.5,47,44
556,37.535,126.978,51.0,52,50
264,37.524,127.141,59.0,60,58
524,37.525999999999996,126.87299999999999,51.0,54,48
