fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"551",37.562,127.013,3.05,295.49,"35","46"
"310",37.562,126.967,3.18,318.06,"36","43"
"545",37.562,126.979,3.18,315,"36","43"
"310",37.562,126.967,3.18,318.06,"37","44"
"5",37.572,126.967,3.29,318.12,"37","44"
"6",37.572,126.979,3.16,314.18,"37","44"
"545",37.562,126.979,3.18,315,"37","44"
"302",37.552,127.118,2.96,294.71,"38","55"
"310",37.562,126.967,3.18,318.06,"39","45"
"5",37.572,126.967,3.29,318.12,"39","45"
"558",37.553,126.967,3.19,312.22,"39","45"
"6",37.572,126.979,3.16,314.18,"39","45"
"545",37.562,126.979,3.18,315,"39","45"
"553",37.553,126.978,3.19,316.88,"39","45"
"310",37.562,126.967,3.18,318.06,"40","46"
"5",37.572,126.967,3.29,318.12,"40","46"
"558",37.553,126.967,3.19,312.22,"40","46"
"6",37.572,126.979,3.16,314.18,"40","46"
"1",37.571,126.99,3.13,305.21,"40","46"
"545",37.562,126.979,3.18,315,"40","46"
"547",37.562,126.99,3.29,300.78,"40","46"
"553",37.553,126.978,3.19,316.88,"40","46"
"480",37.563,126.955,3.32,319.43,"41","47"
"478",37.572,126.955,3.49,322.93,"41","47"
"310",37.562,126.967,3.18,318.06,"41","47"
"4",37.581,126.967,3.43,314.06,"41","47"
"5",37.572,126.967,3.29,318.12,"41","47"
"558",37.553,126.967,3.19,312.22,"41","47"
"279",37.581,126.979,3.17,316.42,"41","47"
"6",37.572,126.979,3.16,314.18,"41","47"
"1",37.571,126.99,3.13,305.21,"41","47"
"7",37.581,126.99,3.13,315.9,"41","47"
"278",37.58,127.025,2.95,302.61,"41","47"
"356",37.58,127.037,2.9,299.48,"41","47"
"537",37.581,127.002,3.09,311.64,"41","47"
"538",37.571,127.013,2.99,301.15,"41","47"
"539",37.58,127.014,3.01,307.54,"41","47"
"545",37.562,126.979,3.18,315,"41","47"
"546",37.553,126.99,3.36,312.04,"41","47"
"547",37.562,126.99,3.29,300.78,"41","47"
"548",37.562,127.002,3.2,293.04,"41","47"
"551",37.562,127.013,3.05,295.49,"41","47"
