"fid","avg_tmp","max_tmp","min_tmp","도로(도시)_비율","공공용지(도시)_비율","하천(수계)_비율","암벽/석산(임지)_비율","미경지정리답(농지)_비율","보통/특수작물(농지)_비율","저수지/늪(수계)_비율","공업나지(도시)_비율","경지정리답(농지)_비율","철로(도시)_비율","골프장(임지)_비율","공원묘지(임지)_비율","과수원(농지)_비율","순수양호","순수불량","순수양호_비율","순수불량_비율","80m_wind_speed","10m_wind_speed","difference_wind","avg_dust_10","max_dust_10","min_dust_10","max_ele","min_ele","avg_ele","num_ele","diff_ele","label","b_sum","g_sum"
460,22.7692307692308,31,18,36.779959742552,0.0279720655564722,0,0,0,0.357280322935727,0,0,0,0,0,0,0,1005251.001,110179.633,90.1222335444662,9.8777664555338,3.31,3.04,0.27,52,52,52,180,34,78.9420289855072,138,146,3,2.9060379360853,59.9287499328705
543,18.1582278481013,26,10,0,0,0,1.27082369262657,0,0,0,0,0,0,0,0,0,953596.835,0,100,0,4.66,4.32,0.34,51.5,52,51,668,289,469.896296296296,135,379,3,0,98.7291763073734
295,31.2647058823529,36,27,54.0577095119926,0,0,0,0,0,0,0,0,0,0,0,0,1008070.58,63346.226,94.0876206491015,5.91237935089848,2.94,2.45,0.49,52,53,51,166,40,77.3481481481482,135,126,3,2.5628886740122,43.3794018139952
293,19.7338709677419,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1058145.433,0,100,0,4.38,3.6,0.78,51,51,51,466,174,301.251851851852,135,292,3,0,100
378,32.1739130434783,35,28,89.5105961267541,0.0988009657365286,0,0,0,0,0,0,0,0,0,0,0,677474.003,438798.018,60.6907626685019,39.3092373314981,2.64,2.29,0.35,53,54,52,115,35,57.7925925925926,135,80,1,8.66802704257375,1.72257586493568
468,17.9375,25,9,0,0,0,0.911026780626614,0,0,0,0,0,0,0,0,0,926368.228,0,93.0511071725803,0,4.56,4.14,0.42,52,52,52,543,276,425.746478873239,142,267,3,0,99.0889732193734
294,27.5714285714286,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1069477.509,0,100,0,3.58,2.88,0.7,51.5,52,51,369,98,199,161,271,3,0,100
380,31.6,36,28,87.9370041165251,0,0.421225544195715,0,0,0,0,0,0,0,0,0,0,380401.281,584700.336,39.4156712929847,60.5843287070153,2.55,2.3,0.25,52.5,53,52,67,19,31.48,100,48,0,3.78283473163969,7.85893560763951
417,31.7948717948718,36,28,88.846414012654,0,1.13298601176638,0,0,0,0,0,0,2.58893005934657,0,0,0,666124.203,386601.234,63.2761572569468,36.7238427430532,2.6,2.3,0.3,52,52,52,81,14,33.6547619047619,84,67,1,4.61424458806969,2.81742532816335
379,31.037037037037,35,28,89.9071092380913,0,0.323812603909841,0,0,0,0,0,0,0,0,0,0,981352.519,89545.746,91.6382583736841,8.36174162631592,2.56,2.29,0.27,53.5,54,53,106,23,57.5038759689922,129,83,3,5.83643293722533,3.93264522077354
421,32.1710526315789,37,28,73.8166375750049,1.80734716952496,0,0,0,0.104549403707001,0.0660693146251815,0,0,0.140258721445912,1.357757238526,0,0,813868.05,402465.564,66.9115808880375,33.0884191119625,2.68,2.38,0.3,51,51,51,75,22,38.5281690140845,142,53,1,1.49295008561938,21.2144304915466
419,33.2857142857143,37,29,91.3694605776343,0,0.958162848214446,0,0,0,0,0,0,1.64624943036819,0,0,0,753671.326,162474.07,82.2654711021437,17.7345288978563,2.67,2.34,0.33,51.5,52,51,34,12,21.6666666666667,72,22,1,5.8300768741037,0.196050269679322
420,32.2068965517241,37,28,74.2008575964121,0.924698904577952,0,0,0,0.105117214010358,0.0157773711615779,0,0,0.0332902839111722,0,0,0,888555.338,125514.167,87.6227254264982,12.3772745735017,2.69,2.37,0.32,51,51,51,65,21,36.2540983606557,122,44,1,4.11290987658762,20.6073487533391
458,23.9866666666667,32,16,53.7183946367015,0,0,0,0,0.100440727400878,0,0,0,0,0,0,0,933894.319,80282.3,92.0839922262101,7.91600777378994,3.25,3.11,0.14,51.5,52,51,246,29,86.4436090225564,133,217,3,4.51002357475205,41.6711410611456
454,28.7659574468085,34,24,79.2904666765478,0.0733740459345369,0,0,0,0,0,0,0,0,0,0,0,967106.747,47262.557,95.3406952661493,4.65930473385066,3.19,2.84,0.35,52,52,52,145,22,51.6470588235294,119,123,3,4.82113498459825,15.8150242929194
459,22.7714285714286,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1015673.56,0,100,0,3.69,3.63,0.0600000000000001,51.5,52,51,359,93,222.737588652482,141,266,3,1.12934694742801,98.8706530525719
541,19.5051546391753,30,12,55.4270058865337,0,0,0.856160895902958,0,0,0,0,0,0,0,0,0,1055276.322,0,100,0,3.97,3.78,0.19,52,52,52,410,114,233.807228915663,166,296,3,0.188938977459523,43.5278942401038
542,20.1882352941176,28,13,0,0,0,2.62688665832142,0,0,0,0,0,0,0,0,0,1017194.753,0,100,0,3.91,3.72,0.19,51.5,52,51,482,152,286.162162162162,148,330,3,0,97.3731133416786
288,21.036496350365,28,14,55.1272887991332,0,0,1.13976372801302,0,0,0,0,0,0,0,0,0,1070523.292,0,100,0,4.03,3.72,0.31,51,51,51,429,155,294.993975903614,166,274,3,0.376976864918968,43.3559706079348
368,31.7128712871287,41,26,91.5102034484346,1.06252324941753,0,0,0,3.61039083259804,0,0,0,0,0,0,0.0619480251055049,1040208.241,342839.043,75.2113288557674,24.7886711442325,2.81,2.55,0.26,50.5,51,50,157,31,65.6374269005848,171,126,1,1.31213581068293,2.44279863376143
455,31.3333333333333,33,29,88.6428651278948,0,0,0,0,0,0,0,0,0,0,0,0,719391.248,317654.208,69.3693071830016,30.6306928169984,3.13,2.83,0.3,51.5,52,51,65,22,34.8076923076923,104,43,1,11.3571348721051,0
367,31.6071428571429,35,28,91.0558633862608,2.68847127680899,0.184073018983704,0,0,1.11606815842302,0,0,0,0.11001391231931,0,0,0.241636115751203,700314.031,336380.351,67.5526021129726,32.4473978870274,2.71,2.4,0.31,50.5,51,50,70,22,35.7241379310345,116,48,1,3.13249674051345,1.47137739093955
289,28,31,24,0,0,0,2.13566791249168,0,0,0,0,0,0,0,0,0,1117985.938,0,100,0,3.93,3.32,0.61,51,51,51,296,111,193.352112676056,142,185,3,0,97.8643320875083
291,32.2272727272727,35,28,87.5097105390459,0,0,0,0,0,0,0,0,0,0,0,0,1069611.907,0,100,0,2.85,2.48,0.37,53.5,55,52,150,43,85.9797297297297,148,107,3,7.49364842373651,4.99664103721755
