".","Freq"
"아이컨택",9
"아이콘",9
"아카츠키",9
"악동뮤지션",9
"안심",9
"야외먹방",9
"어머니",9
"엔딩",9
"연말메이크업",9
"오므라이스",9
"우정",9
"유인나",9
"유족",9
"윤기",9
"윤보미",9
"은메달",9
"은퇴후전원생활",9
"이타치",9
"이효리",9
"인기가요",9
"인스타그램",9
"인피니트",9
"일본아이돌",9
"읽어주는남자",9
"자막",9
"자메이카",9
"잠",9
"장난감",9
"장어낚시",9
"재테크",9
"전",9
"전현무",9
"정치인",9
"제육볶음",9
"조",9
"주말오후",9
"지라이야",9
"직장생활",9
"직장인",9
"직장인의하루",9
"차이",9
"철수해달라",9
"쵸우",9
"쵸쵸우",9
"출연했다",9
"취재진",9
"치즈",9
"친구들",9
"칠각별",9
"카메라·",9
"카즈나리",9
"캠핑",9
"코덕",9
"쿠션",9
"타노스",9
"턱형",9
"테스트",9
"토르",9
"토스트",9
"통발",9
"튀김",9
"풍월량",9
"프로듀스101",9
"하루대끼",9
"학생",9
"한국의",9
"한혜진",9
"해외브이로그",9
"헤어",9
"화사",9
"황승언",9
"흑역사",9
"힐링",9
"(339/365)",8
"(340/365)",8
"1",8
"ama's",8
"and",8
"animal",8
"bank",8
"boomerang",8
"bronze",8
"con",8
"daehwi",8
"dahyun",8
"facebook",8
"fans",8
"final",8
"gfriend",8
"haul",8
"highlights",8
"hikakin",8
"how",8
"internet",8
"jeongyeon",8
"jisung",8
"jonghyun",8
"kuan",8
"league",8
"luv",8
"mahou",8
"mb",8
"medal",8
"media",8
"melon",8
"mon",8
"not",8
"nu'est",8
"practice",8
"quang",8
"redvelvet",8
"rrcherrypie",8
"sakurai",8
"scene",8
"seoul",8
"sho",8
"soccer",8
"spring",8
"super",8
"team",8
"tin",8
"tour",8
"ucnahhp6mwfp3-0wrfee5g2a",8
"wannable",8
"woojin",8
"workout",8
"yome",8
"はじめしゃちょ",8
"갈비",8
"감빵생활",8
"개콘",8
"건성피부",8
"경악",8
"경험",8
"고기먹방",8
"그것이",8
"극우단체",8
"급등주",8
"기겁",8
"기본적분석",8
"기술적분석",8
"김신영",8
"김윤석",8
"김장겸",8
"김치녀",8
"김치만두",8
"깐풍기",8
"깜짝",8
"놀라움",8
"다람쥐",8
"다이아",8
"닦토",8
"답례",8
"대단하다",8
"대한애국당",8
"대휘",8
"더빙신안윤상",8
"도둑",8
"도전먹방",8
"돗",8
"동료",8
"디어제리",8
"떡갈비",8
"라면먹방",8
"마법사의",8
"말",8
"매매",8
"먹방일기",8
"멋진",8
"무기자차",8
"문래동",8
"문자",8
"물",8
"물토",8
"미나",8
"미나토",8
"미소",8
"박원순",8
"백화점",8
"버드리아카데미",8
"보수단체",8
"보호",8
"봄메이크업",8
"봉사",8
"부심",8
"북",8
"북한이야기",8
"불행",8
"빈소",8
"사랑i",8
"사쿠라이",8
"상냥한",8
"상한가",8
"새",8
"성우",8
"송대익",8
"쇼",8
"슈주",8
"슬기로운",8
"슬기로운감빵생활",8
"식단",8
"신뢰",8
"신부",8
"신서유기2",8
"신서유기3",8
"실시간",8
"실제적",8
"아이바",8
"안",8
