"","tag_27_1","Freq"
"1237","적화통일",39
"1238","전공의",15
"1239","전교조",39
"1240","전시작전통제권",39
"1241","전쟁",3
"1242","정규재",39
"1243","정문정",3
"1244","정문정 강연",3
"1245","정문정 작가",3
"1246","정부",2
"1247","정비소",3
"1248","정시",6
"1249","정재승",3
"1250","정지오",3
"1251","정치",52
"1252","정태익",2
"1253","정태익 부동산",2
"1254","정현",1
"1255","정현 4강",1
"1256","정현 대 페더러",1
"1257","정현 영어",1
"1258","정현 영어 인터뷰",1
"1259","정현 영어실력",1
"1260","정현 인터뷰",1
"1261","정현 준결승",1
"1262","정현 테니스",1
"1263","정현 페더러",1
"1264","정현 페더러 경기",1
"1265","정호성",39
"1266","제시카",54
