Politic_tags,number,overlap_num,overlap_word
구속,76,15,"['이명박구속', '우병우구속', '구속영장', '구속적부심사', '남재준구속', '박근혜구속', '법정구속', '이명박구속여부', '이병기구속', '임관빈구속', '구속수사', '구속도로', '정봉주구속', 'mb구속', '최경환구속']"
김성태,76,9,"['김성태원내대표', '자유한국당김성태', '김성태의원', '김성태팩트', '김성태유시민', '김성태혼쭐', '김성태유시민작가', '김성태현역', '김성태자유한국당']"
조국,76,2,"['김어준조국', '문재인조국']"
황장수,76,1,['황장수tv']
변희재,75,10,"['변희재대표', '#손석희변희재', '#변희재미디어워치대표고문', '#변희재손석희', '#변희재', '#손석희변희재논문표절', '#변희재미디어워치', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '변희재손석희의저주', '변희재손석희']"
경제,74,6,"['경제사절단', '서울경제', '배터적경제수역', '경제론', '사드경제보복', '시장경제']"
거짓말,72,2,"['손석희거짓말', '안철수거짓말']"
김은지,72,1,['김은지기자']
틸러슨,72,2,"['렉스틸러슨', '틸러슨미국무장관']"
심상정,71,0,[]
아베,71,3,"['강경화아베', '아베신조', '트럼프아베']"
미사일,71,5,"['북한미사일', '순항미사일', '대륙간탄도미사일', '미사일발사', '핵미사일']"
고영주,70,0,[]
이승만,69,1,['조갑제조갑제닷컴조갑제tv월간조선조선일보보수우파애국진보헌법국군대한민국애국보수박정희박근혜이승만']
icbm,68,0,[]
선제타격,68,0,[]
고대영,68,0,[]
원세훈,68,0,[]
댓글,67,8,"['댓글공작', '댓글사건', '양념댓글', '다음댓글', '댓글양념', '네이버댓글', '댓글활동', '댓글수사tf']"
유영하,67,2,"['유영하변호사', '박근혜유영하']"
탁현민,66,0,[]
주진우,66,10,"['주진우기자', '주진우전국구', '주진우이재오', '주진우이명박', '주진우무죄', '주진우검찰', '주진우mb', '나꼼수주진우정봉주', '주진우법원', '나꼼수주진우']"
국제,65,11,"['이춘근의국제정치', '국제정치', '국제문제', '국제관계', '국제전략연구소', '국제학', '김정민국제전략연구소', '국제전략', '국제신문', '김정민의국제관계', '국제공항']"
