SciTech_tags,number,overlap_num,overlap_word
sofitukker,2,0,[]
신제품,2,0,[]
동물이모티콘,2,0,[]
스티커,2,0,[]
a11바이오닉,2,0,[]
소피터커,2,0,[]
animoji,2,0,[]
페이스아이디,2,0,[]
initialcoinoffering,2,0,[]
crypto,2,1,['cryptocurrency']
opinion,2,0,[]
디오스매직스페이스,2,0,[]
아이폰8플러스개봉기,2,0,[]
베루스,2,1,['베루스케이스']
베루스케이스,2,0,[]
아이폰8플러스리뷰,2,0,[]
아이폰8플러스후기,2,0,[]
lava,2,0,[]
gopro,2,1,['goprohero4']
volcano,2,0,[]
goprohero4,2,0,[]
security,2,0,[]
lg디오스,2,2,"['lg디오스노크온', 'lg디오스노크온매직스페이스']"
가전제품추천,2,0,[]
아이폰8플러스사용기,2,0,[]
신혼살림,2,1,['신혼살림추천']
lg디오스노크온,2,1,['lg디오스노크온매직스페이스']
가전주부,2,0,[]
주부로망,2,0,[]
신혼살림추천,2,0,[]
노크온,2,3,"['디오스노크온', 'lg디오스노크온', 'lg디오스노크온매직스페이스']"
lg냉장고,2,0,[]
디오스,2,5,"['디오스노크온', '디오스매직스페이스', 'lg디오스', 'lg디오스노크온', 'lg디오스노크온매직스페이스']"
lg디오스노크온매직스페이스,2,0,[]
주부,2,2,"['가전주부', '주부로망']"
신혼가전,2,0,[]
아이폰8플러스언박싱,2,0,[]
짐캐리,2,0,[]
eth,2,1,['ethereum']
theverge,2,0,[]
hodl,2,0,[]
dlt,2,0,[]
bitcoincash,2,0,[]
samsungs9,2,0,[]
hangoutsonair,2,1,['#hangoutsonair']
crowdsale,2,0,[]
freedom,2,0,[]
samsunggalaxys9,2,1,['samsunggalaxys9plus']
bch,2,0,[]
finance,2,0,[]
ico,2,0,[]
btc,2,0,[]
galaxys9specs,2,0,[]
galaxys9plus,2,1,['samsunggalaxys9plus']
programming,2,0,[]
developtment,2,0,[]
#hangoutsonair,2,0,[]
fintech,2,0,[]
price,2,0,[]
danseifert,2,0,[]
s9,2,10,"['galaxys9', 'galaxys9pl;us', '삼성갤럭시s9플러스', '갤럭시s9', 'samsungs9', 'samsunggalaxys9', 'galaxys9specs', 'galaxys9plus', 'galaxys9releasedate', 'samsunggalaxys9plus']"
galaxys9releasedate,2,0,[]
samsunggalaxys9plus,2,0,[]
notesipad,1,0,[]
새아이패드애플펜슬,1,0,[]
masterpiecenonono,1,0,[]
애플펜슬아이패드,1,0,[]
thenewipadandapplepencil,1,0,[]
노트필기,1,1,['노트필기아이패드']
아이패드애플펜슬,1,1,['새아이패드애플펜슬']
nonono,1,1,['masterpiecenonono']
ipadandapplepencil,1,1,['thenewipadandapplepencil']
notes,1,3,"['notesipad', 'notesforipadnotesandipad', 'notesonipad']"
notesforipadnotesandipad,1,0,[]
총정리,1,0,[]
개통,1,1,['한국개통']
해외구입,1,0,[]
korea,1,0,[]
volte,1,0,[]
kt,1,2,"['skt', 'sktelecom']"
t-mobile,1,0,[]
유심,1,0,[]
국내사용,1,0,[]
notesonipad,1,0,[]
해외스마트폰,1,0,[]
해외직구,1,0,[]
usim,1,0,[]
직구,1,1,['해외직구']
애플펜슬,1,3,"['새아이패드애플펜슬', '애플펜슬아이패드', '아이패드애플펜슬']"
노트필기아이패드,1,0,[]
masterpiece,1,1,['masterpiecenonono']
한국사용,1,0,[]
jhope,1,0,[]
인체,1,1,['인체의신비']
balloon,1,1,['ideaswithballoons']
비트코인,1,1,['비트코인으로일주일살아보기']
청소방법,1,0,[]
ideaswithballoons,1,0,[]
appleevent,1,0,[]
appleeducation,1,0,[]
homework,1,1,['ohhomework']
alexandredesplat,1,0,[]
howtoclean,1,0,[]
wd-40,1,0,[]
jackprelutsky,1,0,[]
풍선,1,1,['풍선도움말']
ohhomework,1,0,[]
코인원,1,0,[]
grandbudapest,1,0,[]
newipad,1,1,['thenewipadandapplepencil']
2018ipad,1,0,[]
student,1,0,[]
성능,1,0,[]
애플아이패드6세대,1,0,[]
풍선도움말,1,0,[]
6thipad,1,0,[]
unboxing,1,0,[]
아이패드6세대,1,1,['애플아이패드6세대']
processer,1,0,[]
baekgong,1,0,[]
라이트코인,1,0,[]
applea10,1,0,[]
litecoin,1,0,[]
사용방법,1,0,[]
coinone,1,0,[]
아시아경제tv,1,0,[]
최연우,1,0,[]
백재욱,1,0,[]
coincast,1,0,[]
리플,1,0,[]
이은지,1,0,[]
코인캐스트,1,0,[]
오늘의코인,1,0,[]
송범선,1,0,[]
백공,1,0,[]
이더리움,1,0,[]
이유리,1,0,[]
qtum,1,0,[]
박지원,1,0,[]
문성진,1,0,[]
코인넘버원,1,0,[]
암호화폐,1,0,[]
큐텀,1,0,[]
비트코인으로일주일살아보기,1,0,[]
ripple,1,0,[]
블록체인,1,0,[]
거래소,1,0,[]
학생용,1,0,[]
review,1,3,"['iphonexreview', 'iphonereview', 'caseyneistattechreview']"
진화,1,0,[]
test,1,0,[]
japanesetrend,1,0,[]
moltenaluminium,1,0,[]
aluminumfoiltrend,1,0,[]
extremepolishing,1,0,[]
polishingaluminumfoil,1,1,['polishingaluminumfoilballs']
cars,1,0,[]
fish,1,1,['carvsfishherring']
car,1,3,"[""whyi'msoscared"", 'cars', 'carvsfishherring']"
experiment,1,0,[]
ways,1,0,[]
carvsfishherring,1,0,[]
vs,1,2,"['thescienceofyannyvs.laurel', 'carvsfishherring']"
diypolishball,1,0,[]
wowshow,1,0,[]
trick,1,2,"['tricks', 'audiotricks']"
bangtanboys,1,0,[]
rapmonster,1,0,[]
suga,1,0,[]
jungkook,1,0,[]
jin,1,0,[]
btsarmy,1,0,[]
jimin,1,0,[]
1분과학,1,0,[]
인체의신비,1,0,[]
japantrend,1,0,[]
polishingfoilball,1,1,['polishingfoilballs']
education,1,1,['appleeducation']
foilball,1,10,"['polishingfoilball', 'polishingfoilballs', 'aluminumfoilballtrend', 'japanesealuminumfoilballchallenge', 'aluminumfoilball', 'polishingaluminumfoilballs', 'castingfoilball', 'tinfoilball', 'foilballchallenge', 'aluminumfoilballchallenge']"
교육용,1,0,[]
a10,1,1,['applea10']
6세대아이패드,1,0,[]
ipad6th,1,0,[]
2018아이패드,1,0,[]
뺨때리는,1,0,[]
학생,1,1,['학생용']
6세대,1,3,"['애플아이패드6세대', '아이패드6세대', '6세대아이패드']"
프로세서,1,0,[]
개봉기,1,3,"['아이폰x개봉기', '애플아이폰x개봉기', '아이폰8플러스개봉기']"
뉴아이패드,1,0,[]
polishingfoilballs,1,0,[]
howtomake,1,0,[]
aluminumfoilballtrend,1,0,[]
japanesealuminumfoilballchallenge,1,0,[]
mirrorpolishing,1,0,[]
aluminumfoilball,1,4,"['aluminumfoilballtrend', 'japanesealuminumfoilballchallenge', 'polishingaluminumfoilballs', 'aluminumfoilballchallenge']"
polishingaluminumfoilballs,1,0,[]
castingfoilball,1,0,[]
aluminumballpolishing,1,0,[]
tinfoilball,1,0,[]
aluminumfoil,1,7,"['aluminumfoiltrend', 'polishingaluminumfoil', 'aluminumfoilballtrend', 'japanesealuminumfoilballchallenge', 'aluminumfoilball', 'polishingaluminumfoilballs', 'aluminumfoilballchallenge']"
foilballchallenge,1,2,"['japanesealuminumfoilballchallenge', 'aluminumfoilballchallenge']"
aluminumfoilballchallenge,1,1,['japanesealuminumfoilballchallenge']
한국개통,1,0,[]
