Game_tags,number,overlap_num,overlap_word
병맛,31,5,"['병맛게임', '병맛배그', '병맛일본게임', '병맛더빙', '목츄리병맛더빙']"
아이작,31,0,[]
김영태,31,0,[]
카스,30,1,['카스온라인']
ㅁㄷ,30,0,[]
ehxl,30,0,[]
ajehr,30,0,[]
카스온라인,30,0,[]
머독방송,30,0,[]
머도기,30,0,[]
dp,30,2,"['akzmdpdlwl', 'triadprimus']"
steam,30,0,[]
아프리카tv,29,1,['#아프리카tv']
윤겔라,29,1,['니얼굴윤겔라']
마인크래프트상황극,29,0,[]
battleroyale,28,0,[]
테드찡,28,0,[]
겔튜브,28,0,[]
엔젤7777,28,0,[]
니얼굴윤겔라,28,0,[]
킹스컵,28,0,[]
papadogclub,28,0,[]
클로얄버그판,28,0,[]
클래시로얄상자까기,28,0,[]
유튜브,28,14,"['유튜브팬페스트', '테스터훈유튜브', '악어유튜브', '유튜브팬페스트도티', '도티유튜브팬페스트', '지훈유튜브', '헬로유튜브', '유튜브카피라이트클레임', '유튜브노란딱지', '유튜브노란딱지리뷰', '유튜브광고', '유튜브광고부적합', '유튜브노딱', '도로시유튜브']"
클로얄버그,28,1,['클로얄버그판']
끼야,28,0,[]
clashroyaleinvitational,28,0,[]
클래시로얄버그판.클로얄핵,28,0,[]
배틀로얄,28,0,[]
로얄의정석,28,0,[]
리뷰,28,29,"['마인크래프트리뷰', 'minecraft리뷰', '게임리뷰', '영화리뷰', '메탈킴리뷰', '모드리뷰', '마인크래프트모드스토리리뷰', '마크모드스토리리뷰', '마크모드리뷰', '마인크래프트모드리뷰', '메탈킴게임리뷰', '메탈킴영화리뷰', '김스카이게임리뷰', '김스카이리뷰', '김스카이영화리뷰', '곤지암리뷰', '영화곤지암리뷰', '고급지고간결한리뷰', '유튜브노란딱지리뷰', '심플한영상리뷰', '고간리뷰', '메탈킴리뷰영상', '심영리뷰', '프리뷰', '약빤리뷰', '리뷰minecraft', 'vr리뷰', '리뷰어', '모드스토리리뷰']"
하창봉,28,0,[]
pongtv,28,0,[]
우왁굳,28,5,"['우왁굳의게임방송', '우왁굳핫클립', '우왁굳클립', '우왁굳하이라이트', '우왁굳고수']"
파파독클럽,28,0,[]
클로얄클랜상자,28,0,[]
배로,28,0,[]
슈퍼셀,28,0,[]
molt,28,0,[]
몰트,28,0,[]
크로롱,28,0,[]
king’scup,28,0,[]
잠뜰vlog,28,0,[]
클로얄전설상자,28,0,[]
클로얄신규카드,28,0,[]
정배우,28,0,[]
랜덤덱,28,0,[]
클래시로얄버그,28,1,['클래시로얄버그판.클로얄핵']
ggambring,26,0,[]
겜브링,26,2,"['피드앤그로우겜브링', '겜브링vr']"
다다토이,26,0,[]
장난감,26,3,"['장난감카메라', '장난감느낌카메라', '커플장난감']"
마인크래프트탈출맵,26,0,[]
아프리카,26,4,"['아프리카tv', '아프리카티비', '아프리카삼성', '#아프리카tv']"
